Place_of_residence_partner_man,Place_of_birth_partner_man,Age_partner_man,Monthly_income_partner_man_weight,Occupation_partner_man,Place_of_birth_partner_woman,Age_partner_woman,Place_of_residence_partner_woman,Occupation_partner_woman,Monthly_income_partner_woman_weight,Level_of_education_partner_man,Level_of_education_partner_woman,Custody
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,46,2000,EMPLOYEE,XALAPA-ENRIQUEZ,35,XALAPA-ENRIQUEZ,EMPLOYEE,3000,PRIMARY,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,TEZIUTLAN,34,4600,TEACHER,XALAPA-ENRIQUEZ,28,XALAPA-ENRIQUEZ,EMPLOYEE,2900,PROFESSIONAL,PREPARATORY,MOTHER
WHITE LAND,VERACRUZ,36,4000,EMPLOYEE,RICH POOL,32,COSAMALOAPAN,TEACHER,5000,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,28,3500,EMPLOYEE,ISLAND OF BIRDS,28,XALAPA-ENRIQUEZ,EMPLOYEE,3500,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,CALTZONTEPEC,52,3000,ALBAÑIL,XALAPA-ENRIQUEZ,41,XALAPA-ENRIQUEZ,HOME DUTIES,6200,HIGH SCHOOL,HIGH SCHOOL,MOTHER
SAN PEDRO,HIGH MOUNTAIN,73,1700,AERONAUT,THE WILLOW,67,POPLAR,ACTRESS,7900,HIGH SCHOOL,PRIMARY,OTHER
CUAUTITLAN,METZTITLAN,91,3200,OPERATOR,EJIDO LOS ROBLES,27,TEXCOCO,ASSISTANT,26000,PREPARATORY,OTHER,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,42,14000,TEACHER,CARDEL,30,XALAPA-ENRIQUEZ,HOUSEWIFE,301740,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,TLACOTALPAN,46,8000,PROFESSOR,PIJIJIAPAN,45,MADERO CITY,CIVIL SERVANT,11500,PROFESSIONAL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,44,500,EMPLOYEE,XALAPA-ENRIQUEZ,38,XALAPA-ENRIQUEZ,HOUSEWIFE,22000,HIGH SCHOOL,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,ORIZABA,31,10000,TEACHER,APIZACO,30,XALAPA-ENRIQUEZ,TEACHER,9600,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,63,25000,ATTORNEY,XALAPA-ENRIQUEZ,73,XALAPA-ENRIQUEZ,RETIRED,20000,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,MARTINEZ DE LA TORRE,60,2100,UNEMPLOYED,EMILIANO ZAPATA,53,MARTINEZ DE LA TORRE,HOUSEWIFE,7400,PROFESSIONAL,PRIMARY,MOTHER
COSOLEACAQUE,MADERO CITY,71,4200,JEWELER,Chives,60,HUEJOTZINGO,HOME DUTIES,11000,OTHER,OTHER,OTHER
TLALPAN,TULPETLAC,33,2600,COMMERCIAL,NEW NATIONAL STEP,46,SOLIDARITY,LITIGANT,65000,HIGH SCHOOL,PRIMARY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,29,2000,EMPLOYEE,XALAPA-ENRIQUEZ,28,XALAPA-ENRIQUEZ,HOME DUTIES,4336,PREPARATORY,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,39,6000,EMPLOYEE,COMMITTEE,40,XALAPA-ENRIQUEZ,BUSINESSMAN,4000,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,40,2300,CARPENTER,XALAPA-ENRIQUEZ,35,XALAPA-ENRIQUEZ,HOME DUTIES,2100,PREPARATORY,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,53,3000,COUNTER MANAGER,XALAPA-ENRIQUEZ,41,XALAPA-ENRIQUEZ,HOUSEWORK,3440,PRIMARY,HIGH SCHOOL,OTHER
BRAVO RIVER,FRESNILLO,39,2200,ACTOR,STEP LIMON,26,MISANTLA,PRIVATE TEACHER,5000,HIGH SCHOOL,PRIMARY,OTHER
XALAPA-ENRIQUEZ,ACAYUCAN,46,25000,EMPLOYEE,SAN ANDRES TUXTLA,49,XALAPA-ENRIQUEZ,DENTIST,8500,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,42,6060,EMPLOYEE,SATELLITE CITY,43,XALAPA-ENRIQUEZ,BUSINESSMAN,6000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,36,19194,EMPLOYEE,XALAPA-ENRIQUEZ,36,XALAPA-ENRIQUEZ,EMPLOYEE,11500,PREPARATORY,PREPARATORY,MOTHER
SALINA CRUZ,CEMPOALA,63,937,BUSINESSMAN,CAHUAPAN,39,LAKE HUART,NURSE,11200,PRIMARY,PREPARATORY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,42,1000,GRADUATE,XALAPA-ENRIQUEZ,43,XALAPA-ENRIQUEZ,LICENSED,1000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,25,5000,NURSE,XALAPA-ENRIQUEZ,22,XALAPA-ENRIQUEZ,RADIOLOGIST,5000,PREPARATORY,PREPARATORY,MOTHER
JULIO CASTRO,OTILPAN,47,12500,PUBLIC SERVER,SAN JOSE DEL CABO,18,ECATEPEC,ANTHROPOLOGY,1930,PREPARATORY,OTHER,OTHER
SAN PEDRO,SAHAGUN,50,17000,LABORER,MARTINEZ DE LA TORRE,43,CARMEN CITY,COMMISSIONIST,708652,OTHER,OTHER,OTHER
IZTACCZIHUATL REFORM,SAINT JULIAN,44,8300,ADVISER,RINCON DE LA PALMA,48,ALVARADO,LIC. IN RIGHT,8000,PROFESSIONAL,OTHER,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,31,5490,EMPLOYEE,XALAPA-ENRIQUEZ,32,XALAPA-ENRIQUEZ,EMPLOYEE,1500,PREPARATORY,PROFESSIONAL,MOTHER
UNIÓN VENUSTIANO CARRANZA,NOPALUCAN FROM THE FARM,52,6060,POSTGRADUATE STUDENT,LANDERO AND COSS,64,ORIZABA,BUSINESSMAN,7648,PREPARATORY,OTHER,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,26,800,EMPLOYEE,XALAPA-ENRIQUEZ,24,XALAPA-ENRIQUEZ,EMPLOYEE,850,HIGH SCHOOL,PREPARATORY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,35,8500,EMPLOYEE,XALAPA-ENRIQUEZ,32,THE LINGERIE,EMPLOYEE,8000,PROFESSIONAL,PROFESSIONAL,MOTHER
CONSOLAPAN,VILLA EMILIANO ZAPATA,30,28000,RESTAURANT,THE VINE,23,NATIONAL BRIDGE,PUERICULTUR,1000,PROFESSIONAL,HIGH SCHOOL,OTHER
CUERNAVACA,TLAMATOCA,30,9600,PUBLIC EMPLOYEE,TEZAHUAPAN,18,TEHUACAN,LAWYER,20000,PRIMARY,PRIMARY,DAD
TANTOYUCA,EQUAL TO,61,1000,INDUSTRIAL,CHAVARRILLO,19,MOZOMBOA,PROMOTION GIRL,2400,PREPARATORY,PRIMARY,OTHER
URSULO GALVAN,RAUDAL BAD STEP,56,2000,WELDER,BEAUTIFUL VIEW,23,MERIDA,Sociologist,2600,HIGH SCHOOL,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,XICO,48,2500,GARDENER,SINIYUVI,51,XALAPA-ENRIQUEZ,HOME DUTIES,17600,PRIMARY,PRIMARY,MOTHER
OTATES,KEEP,65,9000,TRANSIT,THE KINGS,73,TAPACHULA,CABBIE,2000,WITHOUT SCHOOLING,PREPARATORY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,41,6000,ATTORNEY,XALAPA-ENRIQUEZ,39,XALAPA-ENRIQUEZ,EMPLOYEE,3600,PROFESSIONAL,PROFESSIONAL,MOTHER
CONSOLAPAN,VERACRUZ,30,15000,PLASTIC ARTIST,POSADAS,27,XALAPA-ENRIQUEZ,CABBIE,15000,PROFESSIONAL,PREPARATORY,DAD
CARMEN,BEAUTIFUL VILLA,21,215000,RAILWAY,PEANUT TABLE,57,THE BOY,CODICTOR,13569,OTHER,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,36,8500,EMPLOYEE,XALAPA-ENRIQUEZ,32,XALAPA-ENRIQUEZ,EMPLOYEE,7600,PROFESSIONAL,PROFESSIONAL,DAD
AZCAPOTZALCO,QUERETARO,65,15020,DESIGNER,THE TALL ONES,58,SANTA LUCIA DEL CAMINO,PIANO PROFESSOR,2400,PRIMARY,PROFESSIONAL,MOTHER
SAN ANTONIO,BALTIMORE,53,561676,FEDERAL EMPLOYEE,PASSAGE OF SHEEP,36,BOCHIL,RADIOLOGICAL TECHNICIAN,5700,OTHER,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,54,15000,PROFESSOR,XALAPA-ENRIQUEZ,51,XALAPA-ENRIQUEZ,CATHEDRATIC,15000,PREPARATORY,PROFESSIONAL,MOTHER
TONAYAN,TEPIOLULCO,23,16500,SIGNWRITER,HUAUTLA,29,MEDELLIN DE BRAVO,ADVISOR,5000,PRIMARY,OTHER,DAD
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,71,6000,EMPLOYEE,XALAPA-ENRIQUEZ,78,XALAPA-ENRIQUEZ,Cook,31000,PRIMARY,PREPARATORY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,40,12500,UNEMPLOYED,XALAPA-ENRIQUEZ,38,XALAPA-ENRIQUEZ,RADIOLOGIST,70000,PRIMARY,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,MATIAS ROMERO,34,3545,EMPLOYEE,XALAPA-ENRIQUEZ,36,XALAPA-ENRIQUEZ,EMPLOYEE,8500,HIGH SCHOOL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,NAOLINCO,24,750,ADVISER,XALAPA-ENRIQUEZ,24,NAOLINCO,ACTRESS,10300,WITHOUT SCHOOLING,HIGH SCHOOL,OTHER
MOUTH OF THE RIVER,THE GUACAMAYAS,42,2000,EMPLOYEE,TUZAMAPAN,40,VIEWPOINTS OF THE SEA,LITIGANT,3300,HIGH SCHOOL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,COATZACOALCOS,49,4800,GRADUATE,FEDERAL DISTRICT,54,VILLAFLORES,DENTIST,64000,PROFESSIONAL,HIGH SCHOOL,OTHER
XALAPA-ENRIQUEZ,ALTOTONGA,40,13000,TEACHER,TUXPAN,32,XALAPA-ENRIQUEZ,TEACHER,4815,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,EDGE OF THE MOUNT,59,1400,BUSINESSMAN,XALAPA-ENRIQUEZ,19,XALAPA-ENRIQUEZ,HOME DUTIES,3600,PRIMARY,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,36,12000,EMPLOYEE,XALAPA-ENRIQUEZ,24,XALAPA-ENRIQUEZ,LICENSED,7000,PREPARATORY,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,CORDOVA,34,2900,EMPLOYEE,XALAPA-ENRIQUEZ,28,XALAPA-ENRIQUEZ,EMPLOYEE,7000,PREPARATORY,PREPARATORY,MOTHER
BAJA CALIFORNIA,CITY DELGADO,28,6040,POLICE OFFICER,PASS WHITE,28,VERACRUZ,DRIVER,6452,WITHOUT SCHOOLING,PROFESSIONAL,DAD
PALMA SOLA,BLACK STONES,51,3800,SIGHTSEEING,KEEP,59,MELCHOR OCAMPO,Senator,2000,WITHOUT SCHOOLING,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,33,3000,EMPLOYEE,XALAPA-ENRIQUEZ,28,XALAPA-ENRIQUEZ,EMPLOYEE,6000,PREPARATORY,PROFESSIONAL,MOTHER
ACULA,SANTA ROSA,33,5490,GRADUATE,STONE STOP,43,THE BEAMS,BUSINESSWOMAN,10500,PRIMARY,WITHOUT SCHOOLING,MOTHER
XALAPA-ENRIQUEZ,GOOD VIEW,43,5600,EMPLOYEE,LANDERO AND COSS,44,XALAPA-ENRIQUEZ,EMPLOYEE,14000,PRIMARY,PROFESSIONAL,MOTHER
BEAUTIFUL VILLA,XALAPA - ENRIQUEZ,50,28000,EMPLOYEE,XALAPA-ENRIQUEZ,47,XALAPA-ENRIQUEZ,HOUSEWIFE,9500,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,47,5400,TEACHER,JUCHITAN,49,XALAPA-ENRIQUEZ,PROFESSOR,12000,PROFESSIONAL,PROFESSIONAL,OTHER
CANCUN,THE LEMON,58,3500,POSTAL EMPLOYEE,THE BEAMS OF RAMIREZ,48,CHICONTEPEC,CODICTOR,5200,PRIMARY,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,TEZAHUAPAN,46,8000,DRIVER,GENTLEMAN,45,PEACE,STYLIST,4000,HIGH SCHOOL,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,31,11700,DUTY MANAGER,XALAPA-ENRIQUEZ,26,XALAPA-ENRIQUEZ,COMPUTING,15000,PREPARATORY,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,51,4500,ENPLEADO,XALAPA-ENRIQUEZ,38,XALAPA-ENRIQUEZ,PSYCHOLOGY,3800,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,LOYALTY OF MUÑOZ,37,13600,EMPLOYEE,SWEET WATER,34,XALAPA-ENRIQUEZ,HOME DUTIES,4000,PROFESSIONAL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,THE NEIGHBORHOOD OF FRANCE,70,2200,PENSIONER,JALACINGO,72,XALAPA-ENRIQUEZ,HOUSEWIFE,24000,PRIMARY,OTHER,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,47,6000,MECHANICAL,OTATES,48,XALAPA-ENRIQUEZ,EMPLOYEE,3800,PREPARATORY,PREPARATORY,MOTHER
THE CHOAPAS,WHITE HERON,66,4800,ANTHROPOLOGIST,COLONIA SAN ANGEL,78,RODRIGUEZ CLARA,ING. INDUSTRIAL,4550,PREPARATORY,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,53,9000,EMPLOYEE,XALAPA-ENRIQUEZ,43,XALAPA-ENRIQUEZ,EMPLOYEE,5000,PROFESSIONAL,PREPARATORY,DAD
CONSOLAPAN,SUCHILAPAN DEL R.,33,30000,MANAGER,BARRANQUILLAS,29,MARIANO ESCOBEDO,Sociologist,4087,PREPARATORY,WITHOUT SCHOOLING,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,57,6000,EMPLOYEE,XALAPA-ENRIQUEZ,41,XALAPA-ENRIQUEZ,EMPLOYEE,6000,PROFESSIONAL,PROFESSIONAL,DAD
SAN ANDRES TLALNELHUAYOCAN,WEST BEND,23,8600,JOURNALIST,MARTINIQUE,66,CHETUMAL,BIOLOGICAL PHARMACEUTICAL CHEMISTRY,8300,PROFESSIONAL,PRIMARY,DAD
SAN ANDRES TLALNELHUAYOCAN,MATAMOROS,31,12000,EXECUTIVE,CLACALTIANGUIS,23,VILLA RICA,BIOLOGY,2000,HIGH SCHOOL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,ACAYUCAN,32,10000,EMPLOYEE,COATZACOALCOS,30,XALAPA-ENRIQUEZ,EMPLOYEE,6500,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,TEOCELUS,24,6000,EMPLOYEE,XALAPA-ENRIQUEZ,27,XALAPA-ENRIQUEZ,EMPLOYEE,2400,PREPARATORY,PREPARATORY,MOTHER
GUSTAVO A. MADERO,PURUANDIRO,27,35000,JEWELER,SAN JUAN STEP,84,MEXICO,PUBLIC SINGER,3400,WITHOUT SCHOOLING,PREPARATORY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,40,3000,EMPLOYEE,XALAPA-ENRIQUEZ,38,XALAPA-ENRIQUEZ,EMPLOYEE,4000,PROFESSIONAL,PREPARATORY,MOTHER
UNIÓN VENUSTIANO CARRANZA,SAN JUAN STEP,37,42,STATE EMPLOYEE,THE ANIMES,38,BLACK STONES,CHEF,6200,PREPARATORY,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,35,20000,SALES,FEDERAL DISTRICT,31,XALAPA-ENRIQUEZ,SALES,20000,PROFESSIONAL,PROFESSIONAL,OTHER
CERRO COLORADO,THE UNION,49,2070,ELECTRONICS TECHNICIAN,VICTORIA CITY,31,EL CARMEN,REPORTER,10200,PRIMARY,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,CARMEN,35,1500,EMPLOYEE,XALAPA-ENRIQUEZ,32,XALAPA-ENRIQUEZ,EMPLOYEE,4000,PROFESSIONAL,PREPARATORY,DAD
TLALNELHUAYOCAN,TENAMPULCO,53,3500,CABBIE,HUEYTEPEC,52,XALAPA-ENRIQUEZ,HOUSEWIFE,13500,PREPARATORY,PRIMARY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,43,15000,BUSINESSMAN,MARTINEZ DE LA TORRE,40,XALAPA-ENRIQUEZ,BUSINESSMAN,5000,PREPARATORY,PREPARATORY,MOTHER
BEAUTIFUL,UNION HIDALGO,83,3400,ADMINISTRATOR,TEAPAN,22,THE CHOAPAS,ING. INDUSTRIAL,6800,PRIMARY,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,SAINT VINCENT,26,4000,POLICE OFFICER,XALAPA-ENRIQUEZ,35,XALAPA-ENRIQUEZ,TEACHER,8000,PREPARATORY,PROFESSIONAL,OTHER
VIEWPOINTS,TLATLAUQUTEPEC,52,4200,DUTY MANAGER,BEAUTIFUL VALLEY,29,OAXACA,RADIOLOGIST,6400,PRIMARY,HIGH SCHOOL,OTHER
TLACOTALPAN,XALAPA - ENRIQUEZ,54,25000,TEACHER,XALAPA-ENRIQUEZ,54,XALAPA-ENRIQUEZ,TEACHER,15000,PROFESSIONAL,PROFESSIONAL,MOTHER
THE TRANCAS,ALCHICHILCA,28,6040,WELDER,SEATTLE,17,VIEWPOINTS OF THE SEA,PIANO PROFESSOR,6800,PROFESSIONAL,OTHER,OTHER
OTATES,BORDER,48,2240,LABORER,URSULO GALVAN,19,ORANGES,SALES,50000,PREPARATORY,OTHER,OTHER
XALAPA-ENRIQUEZ,TEPETATE,39,7000,EMPLOYEE,XALAPA-ENRIQUEZ,37,XALAPA-ENRIQUEZ,EMPLOYEE,6000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,THREE ZAPOTES,30,2000,BUSINESSMAN,XALAPA-ENRIQUEZ,24,XALAPA-ENRIQUEZ,EMPLOYEE,1200,PREPARATORY,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,39,560,MECHANICAL,TEMPOAL,78,TEZIUTLAN,EMPLOYEE,4100,PRIMARY,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,COATEPEC,44,70000,EMPLOYEE,TEZONAPA,33,XALAPA-ENRIQUEZ,EMPLOYEE,1900,PROFESSIONAL,PROFESSIONAL,MOTHER
IGNACIO ZARAGOZA,TEPEYAHUALCO,62,1200,DANCER,NEW LARGE HOUSES,73,JILOTEPEC,CRAFTSWOMAN,3440,HIGH SCHOOL,PRIMARY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,32,3900,EMPLOYEE,XALAPA-ENRIQUEZ,33,XALAPA-ENRIQUEZ,EMPLOYEE,2500,PREPARATORY,PREPARATORY,MOTHER
MIGUEL HIDALGO,COMALCALCO,21,4330,BUSINESSMAN,COSAUTLAN,67,SAN JUAN DEL RIO,GENERAL DOCTOR,2400,HIGH SCHOOL,HIGH SCHOOL,OTHER
SAN HIPOLITO,MADRID,64,10500,ADVERTISING,TEZIUTLAN,69,CHIAPAS,PHOTOGRAPHER,6452,PROFESSIONAL,WITHOUT SCHOOLING,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,32,35000,EMPLOYEE,XALAPA-ENRIQUEZ,32,XALAPA-ENRIQUEZ,EMPLOYEE,70000,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,GUTIERREZ ZAMORA,59,50000,EMPLOYEE,ACCEPT,62,XALAPA-ENRIQUEZ,EMPLOYEE,10000,PROFESSIONAL,PROFESSIONAL,DAD
TUXTEPEC,POLOLCINGO,50,3100,EMPLOYEE SAFETY,SHERRY,72,THE DOWN,ADMINISTRATOR,3300,HIGH SCHOOL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,33,4000,EMPLOYEE,XALAPA-ENRIQUEZ,32,XALAPA-ENRIQUEZ,HOUSEWIFE,4850,HIGH SCHOOL,HIGH SCHOOL,MOTHER
SAINT JOSEPH,VERACRUZ,30,5000,ARCHITECT,XALAPA-ENRIQUEZ,33,XALAPA-ENRIQUEZ,GRAPHIC DESIGNER,4000,PROFESSIONAL,PROFESSIONAL,MOTHER
URSULO GALVAN,FELIPE CARRILLO PUERTO,53,23000,INSTRUCTOR,KEEP,23,ACATLAN,ADMINISTRATIVE,900,OTHER,HIGH SCHOOL,MOTHER
CUERNAVACA,CHICONTEPEC,25,2145184,PRIVATE OFFICER,THE SLABS,77,ALVARADO,LABORATORY,13500,WITHOUT SCHOOLING,WITHOUT SCHOOLING,OTHER
OMEALCA,SOLTEPEC,56,750,LIC. IN RIGHT,CITY MENDOZA,74,EJIDO LOS ROBLES,STUDENT,90000,PROFESSIONAL,OTHER,OTHER
SAN MARCOS,BARCELONA,42,11700,LIC. IN EDUCATION,EMILIANO ZAPATA,55,MEDELLIN DE BRAVO,PSYCHOTHERAPIST,5500,OTHER,PRIMARY,DAD
REEDBED,REFORM,46,560,ANESTHESIOLOGIST,TOTALC,69,FORT,CABBIE,12,PREPARATORY,OTHER,MOTHER
ORANGES,PASSAGE OF BUTTONS,34,1843,NUTRIOLOGIST,SAN CRISTOBAL,61,ALVARADO,NURSE,7600,PRIMARY,OTHER,MOTHER
NEZAHUALCOYOTL,COLOGNE JANUARY 6,56,3600,SERIGRAPHER,HUEJUTLA DE REYES,61,SAN MARCOS DE LEON,ANESTHESIOLOGY,16000,PRIMARY,HIGH SCHOOL,DAD
TIJUANA,KIMBERLY,47,20000,PUBLIC EMPLOYEE,COETZALA,74,TEMPOAL,OPHTHALMOLOGIST,50000,WITHOUT SCHOOLING,PRIMARY,DAD
CHAVAXTLA,PANUCO,62,11200,PENSIONER,LOMA DEL SUNFLOWER,34,NUEVO LAREDO,AUDITOR,1500,HIGH SCHOOL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,33,3100,EMPLOYEE,XALAPA-ENRIQUEZ,35,XALAPA-ENRIQUEZ,EMPLOYEE,5150,PREPARATORY,PREPARATORY,DAD
PALMA SOLA,OTILPAN,76,18129,BIOLOGIST,THE TREASURE,25,FORT,CONSULTANT,25000,WITHOUT SCHOOLING,PREPARATORY,DAD
XALAPA-ENRIQUEZ,VICENTE BEACH,26,2000,EMPLOYEE,XALAPA-ENRIQUEZ,33,XALAPA-ENRIQUEZ,EMPLOYEE,2200,HIGH SCHOOL,PREPARATORY,OTHER
SAN MARCOS,LIME,41,7500,PRINTER,LIME,33,COSOLEACAQUE,MUNICIPAL JUDGE,7200,PREPARATORY,OTHER,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,42,15000,EMPLOYEE,XALAPA-ENRIQUEZ,41,XALAPA-ENRIQUEZ,EMPLOYEE,9000,PREPARATORY,PROFESSIONAL,MOTHER
TECOLUTILLA,IXTACZOQUITLAN,24,80000,PHYTOTHERAPIST,LEONA VICARIO,46,SAN MARCOS,ADMINISTRATOR,90000,PRIMARY,HIGH SCHOOL,OTHER
QUERETARO,WHITE FOAM,65,100000,COMMERCIAL,MOZOMBOA,28,HUATUSCO,DRIVER,1700,PRIMARY,HIGH SCHOOL,MOTHER
COATZACOALCOS,FEDERAL DISTRICT,44,15000,EMPLOYEE,XALAPA-ENRIQUEZ,45,XALAPA-ENRIQUEZ,EMPLOYEE,15000,PROFESSIONAL,PROFESSIONAL,MOTHER
IXTACZOQUITLAN,XALAPA - ENRIQUEZ,42,215000,OPTOMETRIST,FEDERAL DISTRICT,30,XALAPA-ENRIQUEZ,TEACHER,3500,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,PLAN OF THE HAGES,50,1500,EMPLOYEE,HUEYTAMALCO,53,XALAPA-ENRIQUEZ,EMPLOYEE,2000,PRIMARY,HIGH SCHOOL,MOTHER
THE BOY,POLANCO,58,26937,ADMINISTRATIVE,CHALMA,51,SAN MARTIN TEXMELUCAN,RETIRED TEACHER,1700,PREPARATORY,HIGH SCHOOL,OTHER
XALAPA-ENRIQUEZ,CORDOVA,24,563218,STUDENT,LAGOONS THE NEIGHBORHOOD OF LA SOLEDAD,25,XALAPA-ENRIQUEZ,STUDENT,2320,PROFESSIONAL,PROFESSIONAL,MOTHER
THE BEAMS,THE BEAMS,46,10000,RANCHER,XALAPA-ENRIQUEZ,35,XALAPA-ENRIQUEZ,HOUSEWIFE,60000,PRIMARY,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,JARS,26,561676,TEACHER,XALAPA-ENRIQUEZ,26,XALAPA-ENRIQUEZ,PROFESSOR,200000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,46,14000,EMPLOYEE,TLATLAUQUITEPEC,46,XALAPA-ENRIQUEZ,PROFESSOR,9000,PROFESSIONAL,PROFESSIONAL,MOTHER
CUERNAVACA,CHAMPILIAN,56,2600,EMPLOYEE,SAN LUIS POTOSI,60,CUAUTITLAN IZCALLI,LIC. IN LANGUAGES,12500,PROFESSIONAL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,24,2800,GOVERNMENT EMPLOYEE,XALAPA-ENRIQUEZ,18,XALAPA-ENRIQUEZ,HOUSEWIFE,2200,HIGH SCHOOL,PRIMARY,DAD
XALAPA-ENRIQUEZ,ORIZABA,56,6500,RETIRED,PLAIN OF THE MOON,47,XALAPA-ENRIQUEZ,EMPLOYEE,6000,PROFESSIONAL,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,55,6000,EMPLOYEE,XALAPA-ENRIQUEZ,46,XALAPA-ENRIQUEZ,SECRETARY,4500,HIGH SCHOOL,HIGH SCHOOL,OTHER
COATEPEC,XALAPA - ENRIQUEZ,58,4000,DRIVER,CORDOVA,58,XALAPA-ENRIQUEZ,HOUSEWIFE,1000,HIGH SCHOOL,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,29,6000,BUSINESSMAN,XALAPA-ENRIQUEZ,27,XALAPA-ENRIQUEZ,EMPLOYEE,63000,PROFESSIONAL,PROFESSIONAL,DAD
